emp_id,first_name,last_name,$2a$04$vLgH030Pw74O5B1FCpSgTutmSnoRESP1hRXrY4oHy6Q/elr0ZFUaO,email,gender,Phone,department,Role,salary,joining_date,Status,Location
emp_0001,Roxi,Altamirano,$2a$04$u635el3mDSDFWQol5XISoerlCE/.iio8ueXY7E/n0kmmoyADqKACu,raltamirano0@google.com.au,Female,1687389299,Services,Supervisor,10000,13-10-2025,Active,Puerto Parra
emp_0002,Marshal,Bremley,$2a$04$La7G4zbwEK4ELhj/h3NBp.csBNH85nddwND2Uy4cU/ecLpJ0p2VSi,mbremley1@senate.gov,Male,3602757866,Legal,Surveyor,20000,24-06-2025,Inactive,Laiyuan
emp_0003,Nap,Schubuser,$2a$04$dGsEUqUJMfx8RuGN5Ldr3emrmlvHsYDFC6QCVnCfXulxVg5ScSBQe,nschubuser2@printfriendly.com,Male,1876164018,Human Resources,Supervisor,30000,03-01-2026,Active ,Baiquesi
emp_0004,Doro,Aldham,$2a$04$UVgaiu79VEZjsg0SPLbrQemG7BaH7J1RJ.kXg/t0EgGeDempRUC8K,daldham3@weebly.com,Female,8291631439,Product Management,Construction Expeditor,40000,13-01-2026,Active ,Pu’er
emp_0005,Eziechiele,Giles,$2a$04$oILJnPvNDYwAqSHMU1zBVeKBUiSynBPLayRdra/ad00iU2Nix1BDa,egiles4@dion.ne.jp,Male,3052735476,Services,Electrician,50000,09-11-2025,Inactive,Punata
emp_0006,Hilliard,Smooth,$2a$04$K8z3QeVJumpW3Hgd7bKWa.IXCPa2RYKGkXhPG4r4LNFHI/tRZh4Tq,hsmooth5@opensource.org,Male,9869805139,Business Development,Architect,60000,17-07-2025,Active,Sobral
emp_0007,Emera,Walentynowicz,$2a$04$C2UwJM3IgBGMHMtk0ERSveKmb6hUanqClZtWzOJ.HZUiCFbyGTn5O,ewalentynowicz6@salon.com,Female,4581961180,Engineering,Construction Worker,70000,09-04-2025,Inactive,Cerca la Source
emp_0008,Noak,Brimson,$2a$04$N64LlvKViszanHkDAqPVKujTsMpUhbPfrlSnS6rCTgQJ8Tk4gbktG,nbrimson7@google.pl,Male,5234390522,Legal,Supervisor,80000,28-05-2025,Active ,Goshogawara
emp_0009,Frankie,Sparham,$2a$04$PLuSLtfSe0d2rJcSyU6Tc.GuNE7WakeYAnPQZKS0pKcW/uezu2U5y,fsparham8@engadget.com,Female,5764128244,Sales,Construction Worker,90000,25-03-2025,Active ,Huoshaoping
emp_0010,Cordell,MacConnechie,$2a$04$iZnROhluqVXefnPBXFyn8.1oxnnn9Jm4XCbAPVP4765MFWY6/d7sG,cmacconnechie9@berkeley.edu,Female,9561950824,Research and Development,Supervisor,100000,22-03-2026,Inactive,Pedome
